"TIME","GEO","S_ADJ","AGE","UNIT","SEX","Value","Flag and Footnotes"
"2011M04","Belgium","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Total","Thousand persons","Total","321",""
"2011M04","Belgium","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Total","Percentage of active population","Total","6.6",""
"2011M04","Belgium","Seasonally adjusted data, not calendar adjusted data","Total","Thousand persons","Total","331",""
"2011M04","Belgium","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","6.8",""
"2011M04","Bulgaria","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Total","Thousand persons","Total","388",""
"2011M04","Bulgaria","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Total","Percentage of active population","Total","11.8",""
"2011M04","Bulgaria","Seasonally adjusted data, not calendar adjusted data","Total","Thousand persons","Total","371",""
"2011M04","Bulgaria","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","11.2",""
"2011M04","Czechia","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Total","Thousand persons","Total","361",""
"2011M04","Czechia","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Total","Percentage of active population","Total","6.9",""
"2011M04","Czechia","Seasonally adjusted data, not calendar adjusted data","Total","Thousand persons","Total","362",""
"2011M04","Czechia","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","6.9",""
"2011M04","Denmark","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Total","Thousand persons","Total","221",""
"2011M04","Denmark","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Total","Percentage of active population","Total","7.5",""
"2011M04","Denmark","Seasonally adjusted data, not calendar adjusted data","Total","Thousand persons","Total","218",""
"2011M04","Denmark","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","7.4",""
"2011M04","Germany (until 1990 former territory of the FRG)","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Total","Thousand persons","Total","2,383",""
"2011M04","Germany (until 1990 former territory of the FRG)","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Total","Percentage of active population","Total","5.8",""
"2011M04","Germany (until 1990 former territory of the FRG)","Seasonally adjusted data, not calendar adjusted data","Total","Thousand persons","Total","2,452",""
"2011M04","Germany (until 1990 former territory of the FRG)","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","6.0",""
"2011M04","Estonia","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Total","Thousand persons","Total","90",""
"2011M04","Estonia","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Total","Percentage of active population","Total","13.2",""
"2011M04","Estonia","Seasonally adjusted data, not calendar adjusted data","Total","Thousand persons","Total","90",""
"2011M04","Estonia","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","13.1",""
"2011M04","Ireland","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Total","Thousand persons","Total","333",""
"2011M04","Ireland","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Total","Percentage of active population","Total","15.0",""
"2011M04","Ireland","Seasonally adjusted data, not calendar adjusted data","Total","Thousand persons","Total","334",""
"2011M04","Ireland","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","15.0",""
"2011M04","Greece","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Total","Thousand persons","Total","787",""
"2011M04","Greece","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Total","Percentage of active population","Total","16.0",""
"2011M04","Greece","Seasonally adjusted data, not calendar adjusted data","Total","Thousand persons","Total","811",""
"2011M04","Greece","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","16.4",""
"2011M04","Spain","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Total","Thousand persons","Total","4,896",""
"2011M04","Spain","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Total","Percentage of active population","Total","20.9",""
"2011M04","Spain","Seasonally adjusted data, not calendar adjusted data","Total","Thousand persons","Total","4,826",""
"2011M04","Spain","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","20.6",""
"2011M04","France","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Total","Thousand persons","Total","2,615",""
"2011M04","France","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Total","Percentage of active population","Total","9.0",""
"2011M04","France","Seasonally adjusted data, not calendar adjusted data","Total","Thousand persons","Total","2,626",""
"2011M04","France","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","9.1",""
"2011M04","Croatia","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Total","Thousand persons","Total","254",""
"2011M04","Croatia","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Total","Percentage of active population","Total","13.8",""
"2011M04","Croatia","Seasonally adjusted data, not calendar adjusted data","Total","Thousand persons","Total","248",""
"2011M04","Croatia","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","13.2",""
"2011M04","Italy","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Total","Thousand persons","Total","1,952",""
"2011M04","Italy","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Total","Percentage of active population","Total","7.9",""
"2011M04","Italy","Seasonally adjusted data, not calendar adjusted data","Total","Thousand persons","Total","1,927",""
"2011M04","Italy","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","7.8",""
"2011M04","Cyprus","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Total","Thousand persons","Total","31",""
"2011M04","Cyprus","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Total","Percentage of active population","Total","7.2",""
"2011M04","Cyprus","Seasonally adjusted data, not calendar adjusted data","Total","Thousand persons","Total","31",""
"2011M04","Cyprus","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","7.1",""
"2011M04","Latvia","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Total","Thousand persons","Total","184",""
"2011M04","Latvia","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Total","Percentage of active population","Total","17.9",""
"2011M04","Latvia","Seasonally adjusted data, not calendar adjusted data","Total","Thousand persons","Total","178",""
"2011M04","Latvia","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","17.2",""
"2011M04","Lithuania","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Total","Thousand persons","Total","243",""
"2011M04","Lithuania","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Total","Percentage of active population","Total","16.3",""
"2011M04","Lithuania","Seasonally adjusted data, not calendar adjusted data","Total","Thousand persons","Total","238",""
"2011M04","Lithuania","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","16.0",""
"2011M04","Luxembourg","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Total","Thousand persons","Total","11",""
"2011M04","Luxembourg","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Total","Percentage of active population","Total","4.7",""
"2011M04","Luxembourg","Seasonally adjusted data, not calendar adjusted data","Total","Thousand persons","Total","11",""
"2011M04","Luxembourg","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","4.7",""
"2011M04","Hungary","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Total","Thousand persons","Total","468",""
"2011M04","Hungary","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Total","Percentage of active population","Total","11.1",""
"2011M04","Hungary","Seasonally adjusted data, not calendar adjusted data","Total","Thousand persons","Total","462",""
"2011M04","Hungary","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","11.0",""
"2011M04","Malta","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Total","Thousand persons","Total","12",""
"2011M04","Malta","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Total","Percentage of active population","Total","6.8",""
"2011M04","Malta","Seasonally adjusted data, not calendar adjusted data","Total","Thousand persons","Total","12",""
"2011M04","Malta","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","6.8",""
"2011M04","Netherlands","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Total","Thousand persons","Total","420",""
"2011M04","Netherlands","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Total","Percentage of active population","Total","4.9",""
"2011M04","Netherlands","Seasonally adjusted data, not calendar adjusted data","Total","Thousand persons","Total","411",""
"2011M04","Netherlands","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","4.7",""
"2011M04","Austria","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Total","Thousand persons","Total","200",""
"2011M04","Austria","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Total","Percentage of active population","Total","4.7",""
"2011M04","Austria","Seasonally adjusted data, not calendar adjusted data","Total","Thousand persons","Total","193",""
"2011M04","Austria","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","4.6",""
"2011M04","Poland","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Total","Thousand persons","Total","1,664",""
"2011M04","Poland","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Total","Percentage of active population","Total","9.7",""
"2011M04","Poland","Seasonally adjusted data, not calendar adjusted data","Total","Thousand persons","Total","1,655",""
"2011M04","Poland","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","9.6",""
"2011M04","Portugal","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Total","Thousand persons","Total","667",""
"2011M04","Portugal","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Total","Percentage of active population","Total","12.4",""
"2011M04","Portugal","Seasonally adjusted data, not calendar adjusted data","Total","Thousand persons","Total","665",""
"2011M04","Portugal","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","12.4",""
"2011M04","Romania","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Total","Thousand persons","Total","662",""
"2011M04","Romania","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Total","Percentage of active population","Total","7.2",""
"2011M04","Romania","Seasonally adjusted data, not calendar adjusted data","Total","Thousand persons","Total","654",""
"2011M04","Romania","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","7.1",""
"2011M04","Slovenia","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Total","Thousand persons","Total","80",""
"2011M04","Slovenia","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Total","Percentage of active population","Total","7.9",""
"2011M04","Slovenia","Seasonally adjusted data, not calendar adjusted data","Total","Thousand persons","Total","81",""
"2011M04","Slovenia","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","8.0",""
"2011M04","Slovakia","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Total","Thousand persons","Total","356",""
"2011M04","Slovakia","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Total","Percentage of active population","Total","13.5",""
"2011M04","Slovakia","Seasonally adjusted data, not calendar adjusted data","Total","Thousand persons","Total","359",""
"2011M04","Slovakia","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","13.6",""
"2011M04","Finland","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Total","Thousand persons","Total","220",""
"2011M04","Finland","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Total","Percentage of active population","Total","8.2",""
"2011M04","Finland","Seasonally adjusted data, not calendar adjusted data","Total","Thousand persons","Total","211",""
"2011M04","Finland","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","7.8",""
"2011M04","Sweden","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Total","Thousand persons","Total","407",""
"2011M04","Sweden","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Total","Percentage of active population","Total","8.2",""
"2011M04","Sweden","Seasonally adjusted data, not calendar adjusted data","Total","Thousand persons","Total","384",""
"2011M04","Sweden","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","7.7",""
"2011M04","United Kingdom","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Total","Thousand persons","Total","2,399",""
"2011M04","United Kingdom","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Total","Percentage of active population","Total","7.6",""
"2011M04","United Kingdom","Seasonally adjusted data, not calendar adjusted data","Total","Thousand persons","Total","2,490",""
"2011M04","United Kingdom","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","7.8",""
"2011M04","Iceland","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Total","Thousand persons","Total","18",""
"2011M04","Iceland","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Total","Percentage of active population","Total","9.9",""
"2011M04","Iceland","Seasonally adjusted data, not calendar adjusted data","Total","Thousand persons","Total","14",""
"2011M04","Iceland","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","7.8",""
"2011M04","Norway","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Total","Thousand persons","Total","95",""
"2011M04","Norway","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Total","Percentage of active population","Total","3.6",""
"2011M04","Norway","Seasonally adjusted data, not calendar adjusted data","Total","Thousand persons","Total","89",""
"2011M04","Norway","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","3.4",""
"2011M04","Turkey","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Total","Thousand persons","Total","2,358",""
"2011M04","Turkey","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Total","Percentage of active population","Total","9.3",""
"2011M04","Turkey","Seasonally adjusted data, not calendar adjusted data","Total","Thousand persons","Total","2,421",""
"2011M04","Turkey","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","9.5",""
"2011M04","United States","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Total","Thousand persons","Total","13,236",""
"2011M04","United States","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Total","Percentage of active population","Total","8.7",""
"2011M04","United States","Seasonally adjusted data, not calendar adjusted data","Total","Thousand persons","Total","13,927",""
"2011M04","United States","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","9.1",""
"2011M04","Japan","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Total","Thousand persons","Total","3,290",""
"2011M04","Japan","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Total","Percentage of active population","Total","5.0",""
"2011M04","Japan","Seasonally adjusted data, not calendar adjusted data","Total","Thousand persons","Total","3,080",""
"2011M04","Japan","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","4.7",""
"2011M05","European Union - 27 countries (from 2019)","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Total","Thousand persons","Total","19,995",""
"2011M05","European Union - 27 countries (from 2019)","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Total","Percentage of active population","Total","9.6",""
"2011M05","European Union - 27 countries (from 2019)","Seasonally adjusted data, not calendar adjusted data","Total","Thousand persons","Total","20,240",""
"2011M05","European Union - 27 countries (from 2019)","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","9.7",""
"2011M05","European Union - 28 countries","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Total","Thousand persons","Total","22,464",""
"2011M05","European Union - 28 countries","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Total","Percentage of active population","Total","9.4",""
"2011M05","European Union - 28 countries","Seasonally adjusted data, not calendar adjusted data","Total","Thousand persons","Total","22,769",""
"2011M05","European Union - 28 countries","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","9.5",""
"2011M05","European Union - 27 countries (2007-2013)","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Total","Thousand persons","Total","22,217",""
"2011M05","European Union - 27 countries (2007-2013)","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Total","Percentage of active population","Total","9.3",""
"2011M05","European Union - 27 countries (2007-2013)","Seasonally adjusted data, not calendar adjusted data","Total","Thousand persons","Total","22,514",""
"2011M05","European Union - 27 countries (2007-2013)","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","9.5",""
"2011M05","European Union - 25 countries (2004-2006)","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Total","Thousand persons","Total","21,213",""
"2011M05","European Union - 25 countries (2004-2006)","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Total","Percentage of active population","Total","9.4",""
"2011M05","European Union - 25 countries (2004-2006)","Seasonally adjusted data, not calendar adjusted data","Total","Thousand persons","Total","21,486",""
"2011M05","European Union - 25 countries (2004-2006)","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","9.5",""
"2011M05","Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Total","Thousand persons","Total","15,285",""
"2011M05","Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Total","Percentage of active population","Total","9.8",""
"2011M05","Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","Seasonally adjusted data, not calendar adjusted data","Total","Thousand persons","Total","15,456",""
"2011M05","Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","9.9",""
"2011M05","Euro area (19 countries)","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Total","Thousand persons","Total","15,695",""
"2011M05","Euro area (19 countries)","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Total","Percentage of active population","Total","9.9",""
"2011M05","Euro area (19 countries)","Seasonally adjusted data, not calendar adjusted data","Total","Thousand persons","Total","15,868",""
"2011M05","Euro area (19 countries)","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","10.0",""
"2011M05","Euro area (18 countries)","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Total","Thousand persons","Total","15,464",""
"2011M05","Euro area (18 countries)","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Total","Percentage of active population","Total","9.8",""
"2011M05","Euro area (18 countries)","Seasonally adjusted data, not calendar adjusted data","Total","Thousand persons","Total","15,634",""
"2011M05","Euro area (18 countries)","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","9.9",""
"2011M05","Belgium","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Total","Thousand persons","Total","317",""
"2011M05","Belgium","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Total","Percentage of active population","Total","6.5",""
"2011M05","Belgium","Seasonally adjusted data, not calendar adjusted data","Total","Thousand persons","Total","337",""
"2011M05","Belgium","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","6.9",""
"2011M05","Bulgaria","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Total","Thousand persons","Total","371",""
"2011M05","Bulgaria","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Total","Percentage of active population","Total","11.2",""
"2011M05","Bulgaria","Seasonally adjusted data, not calendar adjusted data","Total","Thousand persons","Total","371",""
"2011M05","Bulgaria","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","11.2",""
"2011M05","Czechia","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Total","Thousand persons","Total","347",""
"2011M05","Czechia","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Total","Percentage of active population","Total","6.6",""
"2011M05","Czechia","Seasonally adjusted data, not calendar adjusted data","Total","Thousand persons","Total","358",""
"2011M05","Czechia","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","6.8",""
"2011M05","Denmark","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Total","Thousand persons","Total","214",""
"2011M05","Denmark","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Total","Percentage of active population","Total","7.3",""
"2011M05","Denmark","Seasonally adjusted data, not calendar adjusted data","Total","Thousand persons","Total","215",""
"2011M05","Denmark","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","7.3",""
"2011M05","Germany (until 1990 former territory of the FRG)","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Total","Thousand persons","Total","2,319",""
"2011M05","Germany (until 1990 former territory of the FRG)","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Total","Percentage of active population","Total","5.7",""
"2011M05","Germany (until 1990 former territory of the FRG)","Seasonally adjusted data, not calendar adjusted data","Total","Thousand persons","Total","2,420",""
"2011M05","Germany (until 1990 former territory of the FRG)","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","5.9",""
"2011M05","Estonia","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Total","Thousand persons","Total","90",""
"2011M05","Estonia","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Total","Percentage of active population","Total","13.0",""
"2011M05","Estonia","Seasonally adjusted data, not calendar adjusted data","Total","Thousand persons","Total","90",""
"2011M05","Estonia","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","13.0",""
"2011M05","Ireland","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Total","Thousand persons","Total","339",""
"2011M05","Ireland","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Total","Percentage of active population","Total","15.2",""
"2011M05","Ireland","Seasonally adjusted data, not calendar adjusted data","Total","Thousand persons","Total","335",""
"2011M05","Ireland","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","15.0",""
"2011M05","Greece","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Total","Thousand persons","Total","859",""
"2011M05","Greece","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Total","Percentage of active population","Total","17.4",""
"2011M05","Greece","Seasonally adjusted data, not calendar adjusted data","Total","Thousand persons","Total","833",""
"2011M05","Greece","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","16.9",""
"2011M05","Spain","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Total","Thousand persons","Total","4,829",""
"2011M05","Spain","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Total","Percentage of active population","Total","20.6",""
"2011M05","Spain","Seasonally adjusted data, not calendar adjusted data","Total","Thousand persons","Total","4,856",""
"2011M05","Spain","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","20.7",""
"2011M05","France","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Total","Thousand persons","Total","2,561",""
"2011M05","France","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Total","Percentage of active population","Total","8.8",""
"2011M05","France","Seasonally adjusted data, not calendar adjusted data","Total","Thousand persons","Total","2,620",""
"2011M05","France","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","9.1",""
"2011M05","Croatia","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Total","Thousand persons","Total","247",""
"2011M05","Croatia","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Total","Percentage of active population","Total","13.5",""
"2011M05","Croatia","Seasonally adjusted data, not calendar adjusted data","Total","Thousand persons","Total","254",""
"2011M05","Croatia","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","13.5",""
"2011M05","Italy","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Total","Thousand persons","Total","1,952",""
"2011M05","Italy","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Total","Percentage of active population","Total","7.9",""
"2011M05","Italy","Seasonally adjusted data, not calendar adjusted data","Total","Thousand persons","Total","1,984",""
"2011M05","Italy","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","8.1",""
"2011M05","Cyprus","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Total","Thousand persons","Total","31",""
"2011M05","Cyprus","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Total","Percentage of active population","Total","7.2",""
"2011M05","Cyprus","Seasonally adjusted data, not calendar adjusted data","Total","Thousand persons","Total","32",""
"2011M05","Cyprus","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","7.4",""
"2011M05","Latvia","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Total","Thousand persons","Total","179",""
"2011M05","Latvia","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Total","Percentage of active population","Total","17.2",""
"2011M05","Latvia","Seasonally adjusted data, not calendar adjusted data","Total","Thousand persons","Total","178",""
"2011M05","Latvia","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","17.1",""
"2011M05","Lithuania","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Total","Thousand persons","Total","231",""
"2011M05","Lithuania","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Total","Percentage of active population","Total","15.5",""
"2011M05","Lithuania","Seasonally adjusted data, not calendar adjusted data","Total","Thousand persons","Total","234",""
"2011M05","Lithuania","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","15.8",""
"2011M05","Luxembourg","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Total","Thousand persons","Total","11",""
"2011M05","Luxembourg","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Total","Percentage of active population","Total","4.6",""
"2011M05","Luxembourg","Seasonally adjusted data, not calendar adjusted data","Total","Thousand persons","Total","11",""
"2011M05","Luxembourg","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","4.8",""
"2011M05","Hungary","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Total","Thousand persons","Total","460",""
"2011M05","Hungary","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Total","Percentage of active population","Total","10.9",""
"2011M05","Hungary","Seasonally adjusted data, not calendar adjusted data","Total","Thousand persons","Total","463",""
"2011M05","Hungary","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","11.0",""
"2011M05","Malta","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Total","Thousand persons","Total","12",""
"2011M05","Malta","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Total","Percentage of active population","Total","6.7",""
"2011M05","Malta","Seasonally adjusted data, not calendar adjusted data","Total","Thousand persons","Total","12",""
"2011M05","Malta","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","6.7",""
"2011M05","Netherlands","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Total","Thousand persons","Total","416",""
"2011M05","Netherlands","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Total","Percentage of active population","Total","4.8",""
