"TIME","GEO","S_ADJ","AGE","UNIT","SEX","Value","Flag and Footnotes"
"2005M01","Croatia","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","13.6",""
"2005M01","Italy","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Total","Thousand persons","Total","1,940",""
"2005M01","Italy","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Total","Percentage of active population","Total","8.0",""
"2005M01","Italy","Seasonally adjusted data, not calendar adjusted data","Total","Thousand persons","Total","1,878",""
"2005M01","Italy","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","7.7",""
"2005M01","Cyprus","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Total","Thousand persons","Total","20",""
"2005M01","Cyprus","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Total","Percentage of active population","Total","5.5",""
"2005M01","Cyprus","Seasonally adjusted data, not calendar adjusted data","Total","Thousand persons","Total","18",""
"2005M01","Cyprus","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","4.9",""
"2005M01","Latvia","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Total","Thousand persons","Total","125",""
"2005M01","Latvia","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Total","Percentage of active population","Total","11.6",""
"2005M01","Latvia","Seasonally adjusted data, not calendar adjusted data","Total","Thousand persons","Total","123",""
"2005M01","Latvia","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","11.4",""
"2005M01","Lithuania","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Total","Thousand persons","Total","159",""
"2005M01","Lithuania","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Total","Percentage of active population","Total","10.1",""
"2005M01","Lithuania","Seasonally adjusted data, not calendar adjusted data","Total","Thousand persons","Total","155",""
"2005M01","Lithuania","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","9.8",""
"2005M01","Luxembourg","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Total","Thousand persons","Total","10",""
"2005M01","Luxembourg","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Total","Percentage of active population","Total","5.2",""
"2005M01","Luxembourg","Seasonally adjusted data, not calendar adjusted data","Total","Thousand persons","Total","10",""
"2005M01","Luxembourg","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","4.8",""
"2005M01","Hungary","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Total","Thousand persons","Total","285",""
"2005M01","Hungary","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Total","Percentage of active population","Total","6.8",""
"2005M01","Hungary","Seasonally adjusted data, not calendar adjusted data","Total","Thousand persons","Total","277",""
"2005M01","Hungary","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","6.6",""
"2005M01","Malta","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Total","Thousand persons","Total","11",""
"2005M01","Malta","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Total","Percentage of active population","Total","6.7",""
"2005M01","Malta","Seasonally adjusted data, not calendar adjusted data","Total","Thousand persons","Total","11",""
"2005M01","Malta","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","6.7",""
"2005M01","Netherlands","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Total","Thousand persons","Total","512",""
"2005M01","Netherlands","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Total","Percentage of active population","Total","6.2",""
"2005M01","Netherlands","Seasonally adjusted data, not calendar adjusted data","Total","Thousand persons","Total","488",""
"2005M01","Netherlands","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","5.9",""
"2005M01","Austria","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Total","Thousand persons","Total","209",""
"2005M01","Austria","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Total","Percentage of active population","Total","5.4",""
"2005M01","Austria","Seasonally adjusted data, not calendar adjusted data","Total","Thousand persons","Total","212",""
"2005M01","Austria","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","5.4",""
"2005M01","Poland","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Total","Thousand persons","Total","3,151",""
"2005M01","Poland","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Total","Percentage of active population","Total","18.9",""
"2005M01","Poland","Seasonally adjusted data, not calendar adjusted data","Total","Thousand persons","Total","3,034",""
"2005M01","Poland","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","18.1",""
"2005M01","Portugal","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Total","Thousand persons","Total","455",""
"2005M01","Portugal","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Total","Percentage of active population","Total","8.5",""
"2005M01","Portugal","Seasonally adjusted data, not calendar adjusted data","Total","Thousand persons","Total","445",""
"2005M01","Portugal","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","8.3",""
"2005M01","Romania","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Total","Thousand persons","Total","824",""
"2005M01","Romania","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Total","Percentage of active population","Total","8.4",""
"2005M01","Romania","Seasonally adjusted data, not calendar adjusted data","Total","Thousand persons","Total","781",""
"2005M01","Romania","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","7.8",""
"2005M01","Slovenia","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Total","Thousand persons","Total","69",""
"2005M01","Slovenia","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Total","Percentage of active population","Total","6.9",""
"2005M01","Slovenia","Seasonally adjusted data, not calendar adjusted data","Total","Thousand persons","Total","65",""
"2005M01","Slovenia","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","6.4",""
"2005M01","Slovakia","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Total","Thousand persons","Total","470",""
"2005M01","Slovakia","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Total","Percentage of active population","Total","18.0",""
"2005M01","Slovakia","Seasonally adjusted data, not calendar adjusted data","Total","Thousand persons","Total","451",""
"2005M01","Slovakia","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","17.3",""
"2005M01","Finland","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Total","Thousand persons","Total","249",""
"2005M01","Finland","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Total","Percentage of active population","Total","9.8",""
"2005M01","Finland","Seasonally adjusted data, not calendar adjusted data","Total","Thousand persons","Total","227",""
"2005M01","Finland","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","8.7",""
"2005M01","Sweden","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Total","Thousand persons","Total","339",""
"2005M01","Sweden","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Total","Percentage of active population","Total","7.3",""
"2005M01","Sweden","Seasonally adjusted data, not calendar adjusted data","Total","Thousand persons","Total","327",""
"2005M01","Sweden","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","7.0",""
"2005M01","United Kingdom","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Total","Thousand persons","Total","1,398",""
"2005M01","United Kingdom","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Total","Percentage of active population","Total","4.7",""
"2005M01","United Kingdom","Seasonally adjusted data, not calendar adjusted data","Total","Thousand persons","Total","1,421",""
"2005M01","United Kingdom","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","4.7",""
"2005M01","Iceland","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Total","Thousand persons","Total","6",""
"2005M01","Iceland","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Total","Percentage of active population","Total","3.6",""
"2005M01","Iceland","Seasonally adjusted data, not calendar adjusted data","Total","Thousand persons","Total","5",""
"2005M01","Iceland","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","3.0",""
"2005M01","Norway","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Total","Thousand persons","Total","105",""
"2005M01","Norway","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Total","Percentage of active population","Total","4.4",""
"2005M01","Norway","Seasonally adjusted data, not calendar adjusted data","Total","Thousand persons","Total","106",""
"2005M01","Norway","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","4.5",""
"2005M01","Turkey","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Total","Thousand persons","Total","2,150",""
"2005M01","Turkey","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Total","Percentage of active population","Total","10.4",""
"2005M01","Turkey","Seasonally adjusted data, not calendar adjusted data","Total","Thousand persons","Total","1,981",""
"2005M01","Turkey","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","9.3",""
"2005M01","United States","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Total","Thousand persons","Total","8,443",""
"2005M01","United States","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Total","Percentage of active population","Total","5.7",""
"2005M01","United States","Seasonally adjusted data, not calendar adjusted data","Total","Thousand persons","Total","7,768",""
"2005M01","United States","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","5.3",""
"2005M01","Japan","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Total","Thousand persons","Total","2,950",""
"2005M01","Japan","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Total","Percentage of active population","Total","4.5",""
"2005M01","Japan","Seasonally adjusted data, not calendar adjusted data","Total","Thousand persons","Total","2,960",""
"2005M01","Japan","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","4.5",""
"2005M02","European Union - 27 countries (from 2019)","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Total","Thousand persons","Total","20,907",""
"2005M02","European Union - 27 countries (from 2019)","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Total","Percentage of active population","Total","10.4",""
"2005M02","European Union - 27 countries (from 2019)","Seasonally adjusted data, not calendar adjusted data","Total","Thousand persons","Total","19,654",""
"2005M02","European Union - 27 countries (from 2019)","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","9.8",""
"2005M02","European Union - 28 countries","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Total","Thousand persons","Total","22,303",""
"2005M02","European Union - 28 countries","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Total","Percentage of active population","Total","9.6",""
"2005M02","European Union - 28 countries","Seasonally adjusted data, not calendar adjusted data","Total","Thousand persons","Total","21,049",""
"2005M02","European Union - 28 countries","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","9.1",""
"2005M02","European Union - 27 countries (2007-2013)","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Total","Thousand persons","Total","22,040",""
"2005M02","European Union - 27 countries (2007-2013)","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Total","Percentage of active population","Total","9.6",""
"2005M02","European Union - 27 countries (2007-2013)","Seasonally adjusted data, not calendar adjusted data","Total","Thousand persons","Total","20,799",""
"2005M02","European Union - 27 countries (2007-2013)","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","9.1",""
"2005M02","European Union - 25 countries (2004-2006)","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Total","Thousand persons","Total","20,823",""
"2005M02","European Union - 25 countries (2004-2006)","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Total","Percentage of active population","Total","9.6",""
"2005M02","European Union - 25 countries (2004-2006)","Seasonally adjusted data, not calendar adjusted data","Total","Thousand persons","Total","19,639",""
"2005M02","European Union - 25 countries (2004-2006)","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","9.1",""
"2005M02","Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Total","Thousand persons","Total","14,055",""
"2005M02","Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Total","Percentage of active population","Total","9.6",""
"2005M02","Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","Seasonally adjusted data, not calendar adjusted data","Total","Thousand persons","Total","13,116",""
"2005M02","Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","9.0",""
"2005M02","Euro area (19 countries)","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Total","Thousand persons","Total","14,959",""
"2005M02","Euro area (19 countries)","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Total","Percentage of active population","Total","9.7",""
"2005M02","Euro area (19 countries)","Seasonally adjusted data, not calendar adjusted data","Total","Thousand persons","Total","13,987",""
"2005M02","Euro area (19 countries)","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","9.2",""
"2005M02","Euro area (18 countries)","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Total","Thousand persons","Total","14,805",""
"2005M02","Euro area (18 countries)","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Total","Percentage of active population","Total","9.7",""
"2005M02","Euro area (18 countries)","Seasonally adjusted data, not calendar adjusted data","Total","Thousand persons","Total","13,837",""
"2005M02","Euro area (18 countries)","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","9.2",""
"2005M02","Belgium","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Total","Thousand persons","Total","398",""
"2005M02","Belgium","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Total","Percentage of active population","Total","8.6",""
"2005M02","Belgium","Seasonally adjusted data, not calendar adjusted data","Total","Thousand persons","Total","392",""
"2005M02","Belgium","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","8.5",""
"2005M02","Bulgaria","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Total","Thousand persons","Total","364",""
"2005M02","Bulgaria","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Total","Percentage of active population","Total","11.4",""
"2005M02","Bulgaria","Seasonally adjusted data, not calendar adjusted data","Total","Thousand persons","Total","357",""
"2005M02","Bulgaria","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","10.9",""
"2005M02","Czechia","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Total","Thousand persons","Total","441",""
"2005M02","Czechia","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Total","Percentage of active population","Total","8.6",""
"2005M02","Czechia","Seasonally adjusted data, not calendar adjusted data","Total","Thousand persons","Total","416",""
"2005M02","Czechia","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","8.1",""
"2005M02","Denmark","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Total","Thousand persons","Total","165",""
"2005M02","Denmark","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Total","Percentage of active population","Total","5.7",""
"2005M02","Denmark","Seasonally adjusted data, not calendar adjusted data","Total","Thousand persons","Total","151",""
"2005M02","Denmark","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","5.2",""
"2005M02","Germany (until 1990 former territory of the FRG)","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Total","Thousand persons","Total",":",""
"2005M02","Germany (until 1990 former territory of the FRG)","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Total","Percentage of active population","Total",":",""
"2005M02","Germany (until 1990 former territory of the FRG)","Seasonally adjusted data, not calendar adjusted data","Total","Thousand persons","Total","4,340",""
"2005M02","Germany (until 1990 former territory of the FRG)","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","10.9",""
"2005M02","Estonia","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Total","Thousand persons","Total","64",""
"2005M02","Estonia","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Total","Percentage of active population","Total","9.6",""
"2005M02","Estonia","Seasonally adjusted data, not calendar adjusted data","Total","Thousand persons","Total","62",""
"2005M02","Estonia","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","9.3",""
"2005M02","Ireland","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Total","Thousand persons","Total","89",""
"2005M02","Ireland","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Total","Percentage of active population","Total","4.3",""
"2005M02","Ireland","Seasonally adjusted data, not calendar adjusted data","Total","Thousand persons","Total","90",""
"2005M02","Ireland","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","4.3",""
"2005M02","Greece","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Total","Thousand persons","Total","516",""
"2005M02","Greece","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Total","Percentage of active population","Total","10.4",""
"2005M02","Greece","Seasonally adjusted data, not calendar adjusted data","Total","Thousand persons","Total","495",""
"2005M02","Greece","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","10.1",""
"2005M02","Spain","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Total","Thousand persons","Total","2,118",""
"2005M02","Spain","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Total","Percentage of active population","Total","10.2",""
"2005M02","Spain","Seasonally adjusted data, not calendar adjusted data","Total","Thousand persons","Total","2,062",""
"2005M02","Spain","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","9.9",""
"2005M02","France","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Total","Thousand persons","Total","2,504",""
