"TIME","GEO","AGE","UNIT","SEX","Value","Flag and Footnotes"
"2002","European Union - 28 countries","Total","Thousand persons","Total","20,410",""
"2002","European Union - 28 countries","Total","Percentage of total population","Total",":",""
"2002","European Union - 28 countries","Total","Percentage of active population","Total","9.0",""
"2002","European Union - 27 countries (2007-2013)","Total","Thousand persons","Total","20,136",""
"2002","European Union - 27 countries (2007-2013)","Total","Percentage of total population","Total",":",""
"2002","European Union - 27 countries (2007-2013)","Total","Percentage of active population","Total","8.9",""
"2002","European Union - 25 countries (2004-2006)","Total","Thousand persons","Total","18,655",""
"2002","European Union - 25 countries (2004-2006)","Total","Percentage of total population","Total",":",""
"2002","European Union - 25 countries (2004-2006)","Total","Percentage of active population","Total","8.8",""
"2002","Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","Total","Thousand persons","Total","12,719",""
"2002","Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","Total","Percentage of total population","Total",":",""
"2002","Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","Total","Percentage of active population","Total","8.6",""
"2002","Euro area (19 countries)","Total","Thousand persons","Total","12,719",""
"2002","Euro area (19 countries)","Total","Percentage of total population","Total",":",""
"2002","Euro area (19 countries)","Total","Percentage of active population","Total","8.6",""
"2002","Euro area (18 countries)","Total","Thousand persons","Total","12,494",""
"2002","Euro area (18 countries)","Total","Percentage of total population","Total",":",""
"2002","Euro area (18 countries)","Total","Percentage of active population","Total","8.5",""
"2002","Belgium","Total","Thousand persons","Total","331",""
"2002","Belgium","Total","Percentage of total population","Total","4.3",""
"2002","Belgium","Total","Percentage of active population","Total","7.5",""
"2002","Bulgaria","Total","Thousand persons","Total","614",""
"2002","Bulgaria","Total","Percentage of total population","Total","9.9",""
"2002","Bulgaria","Total","Percentage of active population","Total","18.2",""
"2002","Czechia","Total","Thousand persons","Total","374",""
"2002","Czechia","Total","Percentage of total population","Total","4.7",""
"2002","Czechia","Total","Percentage of active population","Total","7.3",""
"2002","Denmark","Total","Thousand persons","Total","131",""
"2002","Denmark","Total","Percentage of total population","Total","3.3",""
"2002","Denmark","Total","Percentage of active population","Total","4.6",""
"2002","Germany (until 1990 former territory of the FRG)","Total","Thousand persons","Total","3,376",""
"2002","Germany (until 1990 former territory of the FRG)","Total","Percentage of total population","Total",":",""
"2002","Germany (until 1990 former territory of the FRG)","Total","Percentage of active population","Total","8.6",""
"2002","Estonia","Total","Thousand persons","Total","75",""
"2002","Estonia","Total","Percentage of total population","Total","7.0",""
"2002","Estonia","Total","Percentage of active population","Total","11.2",""
"2002","Ireland","Total","Thousand persons","Total","91",""
"2002","Ireland","Total","Percentage of total population","Total","2.8",""
"2002","Ireland","Total","Percentage of active population","Total","4.7",""
"2002","Greece","Total","Thousand persons","Total","480",""
"2002","Greece","Total","Percentage of total population","Total","5.8",""
"2002","Greece","Total","Percentage of active population","Total","10.3",""
"2002","Spain","Total","Thousand persons","Total","2,171",""
"2002","Spain","Total","Percentage of total population","Total","6.7",""
"2002","Spain","Total","Percentage of active population","Total","11.5",""
"2002","France","Total","Thousand persons","Total","2,171",""
"2002","France","Total","Percentage of total population","Total",":",""
"2002","France","Total","Percentage of active population","Total","7.9",""
"2002","Croatia","Total","Thousand persons","Total","274",""
"2002","Croatia","Total","Percentage of total population","Total",":",""
"2002","Croatia","Total","Percentage of active population","Total","15.3",""
"2002","Italy","Total","Thousand persons","Total","2,058",""
"2002","Italy","Total","Percentage of total population","Total","4.6",""
"2002","Italy","Total","Percentage of active population","Total","8.5",""
"2002","Cyprus","Total","Thousand persons","Total","12",""
"2002","Cyprus","Total","Percentage of total population","Total",":",""
"2002","Cyprus","Total","Percentage of active population","Total","3.5",""
"2002","Latvia","Total","Thousand persons","Total","136",""
"2002","Latvia","Total","Percentage of total population","Total","7.7",""
"2002","Latvia","Total","Percentage of active population","Total","12.5",""
"2002","Lithuania","Total","Thousand persons","Total","224",""
"2002","Lithuania","Total","Percentage of total population","Total","8.6",""
"2002","Lithuania","Total","Percentage of active population","Total","13.8",""
"2002","Luxembourg","Total","Thousand persons","Total","5",""
"2002","Luxembourg","Total","Percentage of total population","Total",":",""
"2002","Luxembourg","Total","Percentage of active population","Total","2.6",""
"2002","Hungary","Total","Thousand persons","Total","229",""
"2002","Hungary","Total","Percentage of total population","Total","3.1",""
"2002","Hungary","Total","Percentage of active population","Total","5.6",""
"2002","Malta","Total","Thousand persons","Total","11",""
"2002","Malta","Total","Percentage of total population","Total","3.6",""
"2002","Malta","Total","Percentage of active population","Total","7.0",""
"2002","Netherlands","Total","Thousand persons","Total","301","d"
"2002","Netherlands","Total","Percentage of total population","Total","1.9","d"
"2002","Netherlands","Total","Percentage of active population","Total","3.7","d"
"2002","Austria","Total","Thousand persons","Total","167",""
"2002","Austria","Total","Percentage of total population","Total","2.5",""
"2002","Austria","Total","Percentage of active population","Total","4.4",""
"2002","Poland","Total","Thousand persons","Total","3,423",""
"2002","Poland","Total","Percentage of total population","Total","11.8",""
"2002","Poland","Total","Percentage of active population","Total","20.0",""
"2002","Portugal","Total","Thousand persons","Total","327",""
"2002","Portugal","Total","Percentage of total population","Total","3.8",""
"2002","Portugal","Total","Percentage of active population","Total","6.2",""
"2002","Romania","Total","Thousand persons","Total","866",""
"2002","Romania","Total","Percentage of total population","Total","5.1",""
"2002","Romania","Total","Percentage of active population","Total","8.3",""
"2002","Slovenia","Total","Thousand persons","Total","61",""
"2002","Slovenia","Total","Percentage of total population","Total","3.9",""
"2002","Slovenia","Total","Percentage of active population","Total","6.3",""
"2002","Slovakia","Total","Thousand persons","Total","484",""
"2002","Slovakia","Total","Percentage of total population","Total","11.9",""
"2002","Slovakia","Total","Percentage of active population","Total","18.8",""
"2002","Finland","Total","Thousand persons","Total","237",""
"2002","Finland","Total","Percentage of total population","Total","6.1",""
"2002","Finland","Total","Percentage of active population","Total","9.1",""
"2002","Sweden","Total","Thousand persons","Total","277",""
"2002","Sweden","Total","Percentage of total population","Total","4.3",""
"2002","Sweden","Total","Percentage of active population","Total","6.0",""
"2002","United Kingdom","Total","Thousand persons","Total","1,503",""
"2002","United Kingdom","Total","Percentage of total population","Total","3.5",""
"2002","United Kingdom","Total","Percentage of active population","Total","5.1",""
"2002","Iceland","Total","Thousand persons","Total",":",""
"2002","Iceland","Total","Percentage of total population","Total",":",""
"2002","Iceland","Total","Percentage of active population","Total",":",""
"2002","Norway","Total","Thousand persons","Total","87",""
"2002","Norway","Total","Percentage of total population","Total","2.8",""
"2002","Norway","Total","Percentage of active population","Total","3.7",""
"2002","Turkey","Total","Thousand persons","Total",":",""
"2002","Turkey","Total","Percentage of total population","Total",":",""
"2002","Turkey","Total","Percentage of active population","Total",":",""
"2002","United States","Total","Thousand persons","Total","8,378",""
"2002","United States","Total","Percentage of total population","Total",":",""
"2002","United States","Total","Percentage of active population","Total","5.8",""
"2002","Japan","Total","Thousand persons","Total","3,588",""
"2002","Japan","Total","Percentage of total population","Total",":",""
"2002","Japan","Total","Percentage of active population","Total","5.4",""
"2003","European Union - 27 countries (from 2019)","Total","Thousand persons","Total","19,434",""
"2003","European Union - 27 countries (from 2019)","Total","Percentage of total population","Total",":",""
"2003","European Union - 27 countries (from 2019)","Total","Percentage of active population","Total","9.8",""
"2003","European Union - 28 countries","Total","Thousand persons","Total","20,898",""
"2003","European Union - 28 countries","Total","Percentage of total population","Total",":",""
"2003","European Union - 28 countries","Total","Percentage of active population","Total","9.2",""
"2003","European Union - 27 countries (2007-2013)","Total","Thousand persons","Total","20,643",""
"2003","European Union - 27 countries (2007-2013)","Total","Percentage of total population","Total",":",""
"2003","European Union - 27 countries (2007-2013)","Total","Percentage of active population","Total","9.1",""
"2003","European Union - 25 countries (2004-2006)","Total","Thousand persons","Total","19,422",""
"2003","European Union - 25 countries (2004-2006)","Total","Percentage of total population","Total",":",""
"2003","European Union - 25 countries (2004-2006)","Total","Percentage of active population","Total","9.1",""
"2003","Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","Total","Thousand persons","Total","13,550",""
"2003","Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","Total","Percentage of total population","Total",":",""
"2003","Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","Total","Percentage of active population","Total","9.1",""
"2003","Euro area (19 countries)","Total","Thousand persons","Total","13,550",""
"2003","Euro area (19 countries)","Total","Percentage of total population","Total",":",""
"2003","Euro area (19 countries)","Total","Percentage of active population","Total","9.1",""
"2003","Euro area (18 countries)","Total","Thousand persons","Total","13,346",""
"2003","Euro area (18 countries)","Total","Percentage of total population","Total",":",""
"2003","Euro area (18 countries)","Total","Percentage of active population","Total","9.0",""
"2003","Belgium","Total","Thousand persons","Total","362",""
"2003","Belgium","Total","Percentage of total population","Total","4.7",""
"2003","Belgium","Total","Percentage of active population","Total","8.2",""
"2003","Bulgaria","Total","Thousand persons","Total","453",""
"2003","Bulgaria","Total","Percentage of total population","Total","7.3",""
"2003","Bulgaria","Total","Percentage of active population","Total","13.7",""
"2003","Czechia","Total","Thousand persons","Total","399",""
"2003","Czechia","Total","Percentage of total population","Total","5.0",""
"2003","Czechia","Total","Percentage of active population","Total","7.8",""
"2003","Denmark","Total","Thousand persons","Total","155",""
"2003","Denmark","Total","Percentage of total population","Total","3.9",""
"2003","Denmark","Total","Percentage of active population","Total","5.4",""
"2003","Germany (until 1990 former territory of the FRG)","Total","Thousand persons","Total","3,810",""
"2003","Germany (until 1990 former territory of the FRG)","Total","Percentage of total population","Total",":",""
"2003","Germany (until 1990 former territory of the FRG)","Total","Percentage of active population","Total","9.7",""
"2003","Estonia","Total","Thousand persons","Total","70",""
"2003","Estonia","Total","Percentage of total population","Total","6.6",""
"2003","Estonia","Total","Percentage of active population","Total","10.3",""
"2003","Ireland","Total","Thousand persons","Total","96",""
"2003","Ireland","Total","Percentage of total population","Total","3.0",""
"2003","Ireland","Total","Percentage of active population","Total","4.8",""
"2003","Greece","Total","Thousand persons","Total","460","d"
"2003","Greece","Total","Percentage of total population","Total","5.6","d"
"2003","Greece","Total","Percentage of active population","Total","9.7","d"
"2003","Spain","Total","Thousand persons","Total","2,267",""
"2003","Spain","Total","Percentage of total population","Total","6.9",""
"2003","Spain","Total","Percentage of active population","Total","11.5",""
"2003","France","Total","Thousand persons","Total","2,338",""
"2003","France","Total","Percentage of total population","Total","5.0",""
"2003","France","Total","Percentage of active population","Total","8.5",""
"2003","Croatia","Total","Thousand persons","Total","255",""
"2003","Croatia","Total","Percentage of total population","Total",":",""
"2003","Croatia","Total","Percentage of active population","Total","14.1",""
"2003","Italy","Total","Thousand persons","Total","2,050",""
"2003","Italy","Total","Percentage of total population","Total","4.6",""
"2003","Italy","Total","Percentage of active population","Total","8.4",""
"2003","Cyprus","Total","Thousand persons","Total","14",""
"2003","Cyprus","Total","Percentage of total population","Total","3.7",""
"2003","Cyprus","Total","Percentage of active population","Total","4.1",""
"2003","Latvia","Total","Thousand persons","Total","127",""
"2003","Latvia","Total","Percentage of total population","Total","7.2",""
"2003","Latvia","Total","Percentage of active population","Total","11.6",""
"2003","Lithuania","Total","Thousand persons","Total","204",""
"2003","Lithuania","Total","Percentage of total population","Total","7.8",""
"2003","Lithuania","Total","Percentage of active population","Total","12.4",""
"2003","Luxembourg","Total","Thousand persons","Total","7",""
"2003","Luxembourg","Total","Percentage of total population","Total","2.1",""
"2003","Luxembourg","Total","Percentage of active population","Total","3.8",""
"2003","Hungary","Total","Thousand persons","Total","240",""
"2003","Hungary","Total","Percentage of total population","Total","3.2",""
"2003","Hungary","Total","Percentage of active population","Total","5.8",""
"2003","Malta","Total","Thousand persons","Total","12",""
"2003","Malta","Total","Percentage of total population","Total","4.0",""
"2003","Malta","Total","Percentage of active population","Total","7.6",""
"2003","Netherlands","Total","Thousand persons","Total","395",""
"2003","Netherlands","Total","Percentage of total population","Total","2.6",""
"2003","Netherlands","Total","Percentage of active population","Total","4.8",""
"2003","Austria","Total","Thousand persons","Total","186","d"
"2003","Austria","Total","Percentage of total population","Total","2.8","d"
"2003","Austria","Total","Percentage of active population","Total","4.8","d"
"2003","Poland","Total","Thousand persons","Total","3,308",""
"2003","Poland","Total","Percentage of total population","Total","11.4",""
"2003","Poland","Total","Percentage of active population","Total","19.8",""
"2003","Portugal","Total","Thousand persons","Total","395",""
"2003","Portugal","Total","Percentage of total population","Total","4.7",""
